id;adresse_norm
858984;5308  LE BUIS 7210 BAIX
859025;5319  SERRE TRU 7210 ROCHESSAUVE
859790;3 AV DE KIRCH DORF 72120 SAINT CALAIS
860072;5028  LE BOURG 72140 MONT SAINT JEAN
860074;5091  LE BOURG 72140 MONT SAINT JEAN
860073;5043  LE BOURG 72140 MONT SAINT JEAN
861504;16 RUE DES ANEMONES 72230 RUAUDIN
862028;6391  LES SERRES 7230 PAYZAC
862036;5062  LES MINES 7230 SAINT-ANDRE-LACHAMP
862035;5061  LES MINES 7230 SAINT-ANDRE-LACHAMP
862658;5135  BEL AIR 72330 LA FONTAINE SAINT MARTIN
863249;5053  PERRIER 7240 CHALENCON
863515;7 RUE DE BELLE VUE 72400 SAINT MARTIN DES MONTS
863714;5114  LE FOUGERAY 72440 VOLNAY
863987;5445  CHAMP DE LA CAVE 72500 FLEE
864583;5093  SERRE COURTE 7260 SABLIERES
864584;5095  SERRE COURTE 7260 SABLIERES
865975;16 BD DE BELLEVUE 73000 CHAMBERY
866697;65 RUE DE GENEVE 73100 AIX LES BAINS
867600;5415  IMM L ALBARON 73150 VAL-D ISERE
867602;5183  IMM L ILLAZ 73150 VAL-D ISERE
867603;5057  IMM L OURSON BLANC 73150 VAL-D ISERE
867608;5705  IMM LE PRAZ D'AVAL 73150 VAL-D ISERE
867610;5417  IMM LE SOLAISE 73150 VAL-D ISERE
867611;5113  IMM LE VAL STORE 73150 VAL-D ISERE
867609;5054  IMM LE SLALOM 73150 VAL-D ISERE
867612;5156  IMM LE VALAIX 73150 VAL-D ISERE
867619;3000  IMMEUBLE VAL D'ILLAZ 73150 VAL-D ISERE
867618;5049  IMM VAL COEUR 73150 VAL-D ISERE
867617;5068  IMM SQUAW VALLEY 1 73150 VAL-D ISERE
867631;5175 RES LE DOME 73150 VAL-D ISERE
867641;5039 RES LE VAL BLANC 73150 VAL-D ISERE
867650;5068 CHL PERSVAL 73150 VAL-D ISERE
867653;5627 CHL TURIOS 73150 VAL-D ISERE
867657;5042  VERS LA MOURRA 73150 VAL-D ISERE
867656;5189 CHL VALPIERRE 73150 VAL-D ISERE
867997;6894  LA LANDE 7320 SAINT-AGREVE
867736;460 ALL DU JOVINAL 73160 VIMINES
867860;38 RUE DU STADE 73190 CHALLES-LES-EAUX
869186;116 RTE DU PUY-EN-VEY 7330 MAYRES
869188;56 RTE DU PUY-EN-VEY 7330 MAYRES
869187;265 RTE DU PUY-EN-VEY 7330 MAYRES
869316;9062 RUE BONRIEUX 73300 ST JEAN DE MAURIENNE
869429;80 IMP DES DOUANIERS 73310 MOTZ
870412;8 RUE DES COLONNES 73460 SAINTE-HELENE-SUR-ISERE
870456;89 RTE DE NANCES 73470 NOVALAISE
871477;5244  IMM HOTEL DES TROIS ARCS 73700 BOURG-SAINT-MAURICE
871386;2130 RTE DES VIGNES 7370 OZON
871668;5666  LE DEVES DE L AFRIQUE 7380 JAUJAC
871678;5401  LA CHABANNE 7380 LA SOUCHE
871858;5767 ZA DE PLAN CUMIN 1 73800 PORTE-DE-SAVOIE
871859;5836 ZA DE PLAN CUMIN 2 73800 PORTE-DE-SAVOIE
871799;5001  PRE DU RIFF 73800 LAISSAUD
872010;2 RUE MONTANT AU CHATEAU 7400 LE TEIL
872037;9005  QRT LE PELICAN 7400 LE TEIL
871959;19 RUE DES GENETS 7400 LE TEIL
872147;6 AV DE CHAMBERY 74000 ANNECY
872790;13 RTE DES VALLEES 74100 ANNEMASSE
873090;1 RUE DES ALLOBROGES 74100 VILLE-LA-GRAND
873429;371 ALL DES TULIPES 74120 MEGEVE
873491;2323 RTE NATIONALE 74120 MEGEVE
879022;220 RUE DES CREVALLETS 74460 MARNAZ
879133;1121 RTE DU CHATEAU 74490 MEGEVETTE
879795;64 CLOS SAINT MARTIN 74540 CHAPEIRY
879890;958 RTE DES PIERRES 74540 VIUZ-LA-CHIESAZ
879998;25 CHE DES TETES 74570 FILLIERE
880632;231 IMP DU DOMAINE DE BELLEGARDE 74700 SALLANCHES
881038;228 CHE DU PETIT MARCLAY 74890 BONS-EN-CHABLAIS
881573;258 RTE DE PRARIAND 74950 LE REPOSOIR
882119;46 RUE CROIX DES PETITS CHAMPS 75001 PARIS 01
882118;34 RUE CROIX DES PETITS CHAMPS 75001 PARIS 01
882184;19 RUE DES PETITS CHAMPS 75001 PARIS 01
882182;11 RUE DES PETITS CHAMPS 75001 PARIS 01
882185;55 RUE DES PETITS CHAMPS 75001 PARIS 01
882183;13 RUE DES PETITS CHAMPS 75001 PARIS 01
882211;29 RUE DU PONT NEUF 75001 PARIS 01
882209;16 RUE DU PONT NEUF 75001 PARIS 01
882210;20 RUE DU PONT NEUF 75001 PARIS 01
882255;105 RUE SAINT-DENIS 75001 PARIS 01
882256;129 RUE SAINT-DENIS 75001 PARIS 01
882254;104 RUE SAINT-DENIS 75001 PARIS 01
882392;115 BD DE SEBASTOPOL 75002 PARIS 02
883148;26 RUE DES TOURNELLES 75004 PARIS 04
883230;9 RUE POULLETIER 75004 PARIS 04
884525;39 RUE DE GRENELLE 75007 PARIS 07
890480;6 RUE DES BERGERS 75015 PARIS 15
892512;6 AV ST HONORE D EYLAU 75016 PARIS 16
896486;5071  LA COSTE 7530 AIZAC
896528;5113  LES GRANGES 7530 VALLEES-D'ANTRAIGUES-ASPERJOC
896515;  HAMEAU DE RIGAUDEL 7530 VALLEES-D'ANTRAIGUES-ASPERJOC
896512;5285  CUPIAT 7530 VALLEES-D'ANTRAIGUES-ASPERJOC
